,Release Date,PS3 and Xb360,PS4 and XbOne,PC,PS5 and XbSeriesX|S
277,07 Mar 24,,The Cluckin' Bell Farm Raid Week,The Cluckin' Bell Farm Raid Week,The Cluckin' Bell Farm Raid Week
278,04 Apr 24,,Transform Races Week (April 2024),Transform Races Week (April 2024),Transform Races Week (April 2024)
279,16 Apr 24,,,"Title Update (Online 1.68, PC Only) Notes Official",
280,25 Jun 2024,,GTA Online: Bottom Dollar Bounties[] Title Update (Online 1.69) Notes Official,GTA Online: Bottom Dollar Bounties Title Update (Online 1.69) Notes,GTA Online: Bottom Dollar Bounties Title Update (Online 1.69) Notes
281,04 Jul 24,,Independence Day 2024,Independence Day 2024,Independence Day 2024
282,11 Jul 24,,Law Enforcement Vehicles Week,Law Enforcement Vehicles Week,Law Enforcement Vehicles Week
283,17 Jul 24,,Title Update (Online 1.69) Notes Official,Title Update (Online 1.69) Notes,Title Update (Online 1.69) Notes
284,25 Jul 24,,Pizza Delivery Week,Pizza Delivery Week,Pizza Delivery Week
285,1 Aug 24,,Vorschlaghammer Week,Vorschlaghammer Week,Vorschlaghammer Week
286,17 Sep 24,,,"Title Update (Online 1.69, PC Only) Notes Official",
287,25 Sep 24,,,"Title Update (Online 1.69, PC Only) Notes Official",
288,15 Oct 24,,,"Title Update (Online 1.69, PC Only) Notes Official",
289,30 Oct 24,,,"Title Update (Online 1.69, PC Only) Notes Official",
290,10 Dec 24,,GTA Online: Agents of Sabotage[] Title Update (Online 1.70) Notes Official,GTA Online: Agents of Sabotage Title Update (Online 1.70) Notes,GTA Online: Agents of Sabotage Title Update (Online 1.70) Notes
291,13 Dec 24,,,"Title Update (Online 1.70, PC Only) Notes Official",
292,19 Dec 24,,Festive Surprise 2024(also mentioned in the Official 1.70 update log),Festive Surprise 2024(also mentioned in the Official 1.70 update log),Festive Surprise 2024(also mentioned in the Official 1.70 update log)
293,09 Jan 25,,Firebolt ASP Week(also mentioned in the Official 1.70 update log),Firebolt ASP Week(also mentioned in the Official 1.70 update log),Firebolt ASP Week(also mentioned in the Official 1.70 update log)
